Format,1.0/W,Title,システム英単語　5訂版,,,,
,,,,,,,
CP,No.,品詞,例文,訳,単語,意味,説明
,1201,動詞,**submit** *to* authority,,,,
,1202,動詞,*be* **tempted** *to* call her,,,,
,1203,動詞,The president will **resign** soon.,,,,
,1204,動詞,**conform** *to* the rules,,,,
,1205,動詞,*be* **confined** *to* a small room,,,,
,1206,動詞,**assemble** small parts,,,,
,1207,動詞,I *am* **dedicated** *to* my work.,,,,
,1208,動詞,**advocate** peace,,,,
,1209,動詞,a **thriving** economy,,,,
,1210,動詞,**provoke** a reaction,,,,
,1211,動詞,The markets **dictates** prices.,,,,
,1212,動詞,**exploit** natural resources,,,,
,1213,動詞,**surrender** *to* the US army,,,,
,1214,動詞,accurately **reproduce** the sound,,,,
,1215,動詞,**acknowledge** that a problem exists,,,,
,1216,動詞,**swell** like a ballon,,,,
,1217,動詞,Trees **shed** their leaves.,,,,
,1218,動詞,the long and **winding** road.,,,,
,1219,動詞,**cite** two examples,,,,
,1220,動詞,**digest** food,,,,
,1221,動詞,**skip** lunch,,,,
,1222,動詞,*be* **bound** *by* tradition,,,,
,1223,動詞,**dissolve** suger in water,,,,
,1224,動詞,**implement** the secret plan,,,,
,1225,動詞,**steer** the ship,,,,
,1226,動詞,**congratulate** you *on* your success,,,,
,1227,動詞,a **designated** smoking area,,,,
,1228,動詞,**violate** the law,,,,
,1229,動詞,He is **presumed** innocent.,,,,
,1230,動詞,**recruit** new staff,,,,
,1231,動詞,His birthday **coincides** *with* mine.,,,,
,1232,動詞,**enforce** the new law,,,,
,1233,動詞,people **displaced** by war,,,,
,1234,動詞,The shirts will **shrink**.,,,,
,1235,動詞,**betray** a good friend,,,,
,1236,動詞,The group **comprises** ten members.,,,,
,1237,動詞,**indulge** *in* bad habits,,,,
,1238,動詞,**penetrate** deep into the jungle,,,,
,1239,動詞,a **devastating** effect on nature,,,,
,1240,動詞,**plunge** *into* the water,,,,
,1241,動詞,The ball **bounces** back.,,,,
,1242,動詞,**contradict** what he said,,,,
,1243,動詞,**prescribe** medicine,,,,
,1244,動詞,**oppress** small nations,,,,
,1245,動詞,**cherish** a dream,,,,
,1246,動詞,**illuminate** the road,,,,
,1247,動詞,**trigger** war,,,,
,1248,動詞,**commute** from Chiba to Tokyo,,,,
,1249,動詞,**induce** deep sleep,,,,
,1250,動詞,**utilize** waste materials,,,,
,1251,動詞,The stick **snapped**.,,,,
,1252,動詞,**donate** blood and organs,,,,
,1253,動詞,a newly **hatched** chick,,,,
,1254,動詞,live in an **enclosed** space,,,,
,1255,動詞,the **prevailing** view,,,,
,1256,動詞,**sigh** deeply,,,,
,1257,動詞,Oil **leaked** from the tank.,,,,
,1258,動詞,*be* **compelled** *to* work hard,,,,
,1259,動詞,*be* **crushed** by the pressure,,,,
,1260,動詞,the ability *to* **comprehend** language,,,,
,1261,動詞,**negotiate** for piece,,,,
,1262,動詞,**persist** throughout life,,,,
,1263,動詞,**multiply** by five,,,,
,1264,動詞,**conceive** *of* life *as* a game,,,,
,1265,動詞,**compensate** *for* the loss,,,,
,1266,動詞,**suspend** the project,,,,
,1267,動詞,**stir** emotions,,,,
,1268,動詞,**soak** a towel in hot water,,,,
,1269,動詞,**refine** techniques,,,,
,1270,動詞,**arouse** her curiosity,,,,
,1271,動詞,Speech **precedes** writing.,,,,
,1272,動詞,,,,,
,1273,動詞,,,,,
,1274,動詞,,,,,
,1275,動詞,,,,,
,1276,動詞,,,,,
,1277,動詞,,,,,
,1278,動詞,,,,,
,1279,動詞,,,,,
,1280,動詞,,,,,
,1281,動詞,,,,,
,1282,動詞,,,,,
,1283,動詞,,,,,
,1284,動詞,,,,,
,1285,動詞,,,,,
,1286,動詞,,,,,
,1287,動詞,,,,,
,1288,動詞,,,,,
,1289,動詞,,,,,
,1290,動詞,,,,,
,1291,動詞,,,,,
,1292,動詞,,,,,
,1293,動詞,,,,,
,1294,動詞,,,,,
,1295,動詞,,,,,
,1296,動詞,,,,,
,1297,動詞,,,,,
,1298,動詞,,,,,
,1299,動詞,,,,,
,1300,動詞,,,,,
,1501,名詞,video **surveillance** system,映像**監視**システム,surveillance,,
,1502,名詞,a big black **trash** bag,大きな黒い**ゴミ**袋,,,
,1503,名詞,gain wealth and **prestige**,富と**名声**を手に入れる,,,
,1504,名詞,police **headquarters**,警察**本部**,,
,1505,名詞,explore the vast **wilderness**,広大な**荒野**を探検する,,,
,1506,名詞,the earth's **orbit** around the sun,太陽を回る地球の**軌道**,,,
,1507,名詞,have a personal **bias** against women,女性に対して個人的**偏見**を持つ,,,
,1508,名詞,the **Republic** of Ireland,アイルランド**共和国**,,,
,1509,名詞,The house is a **bargain**.,この家は**掘り出し物**だ,,,
,1510,名詞,the **domain** of psychology,心理学の**領域**で,,,
,1511,名詞,a **fragment** of blue glass,,,,
,1512,名詞,the Andromeda **Galaxy**,,,,
,1513,名詞,sit on mother's **lap**,,,,
,1514,名詞,,,,,
,1515,名詞,,,,,
,1516,名詞,,,,,
,1517,名詞,,,,,
,1518,名詞,,,,,
,1519,名詞,,,,,
,1520,名詞,,,,,
,1521,名詞,,,,,
,1522,名詞,,,,,
,1523,名詞,,,,,
,1524,名詞,,,,,
,1525,名詞,,,,,
,1526,名詞,,,,,
,1527,名詞,,,,,
,1528,名詞,,,,,
,1529,名詞,,,,,
,1530,名詞,,,,,
,1531,名詞,,,,,
,1532,名詞,,,,,
,1533,名詞,,,,,
,1534,名詞,,,,,
,1535,名詞,,,,,
,1536,名詞,,,,,
,1537,名詞,,,,,
,1538,名詞,,,,,
,1539,名詞,,,,,
,1540,名詞,,,,,
,1541,名詞,,,,,
,1542,名詞,,,,,
,1543,名詞,,,,,
,1544,名詞,,,,,
,1545,名詞,,,,,
,1546,名詞,,,,,
,1547,名詞,,,,,
,1548,名詞,,,,,
,1549,名詞,,,,,
,1550,名詞,,,,,